# 00 not avalanche event short
# 01 not avalanche event long
# 10 poor short
# 20 good short
# 30 excellent short
# 11 poor extended
# 21 good extended
# 31 excellent extended
# 22 good with helicopter
# 23 good with triggering explosions
Year,Month,Day,Hour,Minute,Second,Event_Code
2023,3,21,0,15,16,1
2023,3,21,15,33,13,1
2023,3,21,15,37,8,1
2023,3,21,15,44,20,1
2023,3,21,16,59,9,1
2023,3,21,22,26,50,31
2023,3,21,22,56,12,31
2023,3,22,0,17,32,31
2023,3,22,0,40,7,20
2023,3,22,5,57,12,NaN
2023,3,22,6,5,20,NaN
2023,3,22,6,9,5,NaN
2023,3,22,6,27,18,NaN
2023,3,22,6,32,38,NaN
2023,3,22,6,36,22,NaN
2023,3,22,6,40,11,NaN
2023,3,22,6,44,5,NaN
2023,3,22,6,48,3,NaN
2023,3,22,6,55,23,NaN
2023,3,22,6,59,59,NaN
2023,3,22,7,6,46,NaN
2023,3,22,7,10,4,NaN
2023,3,22,7,23,45,NaN
2023,3,22,7,29,24,NaN
2023,3,22,7,47,14,NaN
2023,3,22,7,59,32,NaN
2023,3,22,8,9,29,NaN
2023,3,22,8,12,40,NaN
2023,3,22,8,21,24,NaN
2023,3,22,8,24,36,NaN
2023,3,22,8,27,42,NaN
2023,3,22,8,31,1,NaN
2023,3,22,8,50,3,NaN
2023,3,22,8,53,44,NaN
2023,3,22,8,59,52,NaN
2023,3,22,9,4,39,NaN
2023,3,22,9,7,49,NaN
2023,3,22,9,23,17,NaN
2023,3,22,9,26,29,NaN
2023,3,22,9,31,5,1
2023,3,22,9,35,1,NaN
2023,3,22,16,52,53,NaN
2023,3,22,17,14,48,NaN
2023,3,22,17,57,3,10
2023,3,22,18,8,0,3
2023,3,22,19,33,56,10
2023,3,22,19,39,31,11
2023,3,22,20,7,8,31
2023,3,22,20,10,54,1
2023,3,22,20,14,1,1
2023,3,22,20,18,51,1
2023,3,22,20,44,4,23
2023,3,22,21,0,19,33
2023,3,22,21,19,51,33
2023,3,22,22,54,2,1
2023,3,22,23,6,14,31
2023,3,22,23,39,10,1
2023,3,23,0,12,37,20
2023,3,23,2,33,22,1
2023,3,23,6,43,58,30
2023,3,23,7,3,33,1
2023,3,23,7,12,21,21
2023,3,23,15,46,2,31
2023,3,23,16,56,14,1
2023,3,23,18,36,48,20
2023,3,23,19,16,26,21
2023,3,23,20,17,35,20
2023,3,23,20,25,52,31
2023,3,23,22,46,24,31
2023,3,23,22,55,20,10
2023,3,24,2,14,20,31
2023,3,24,6,34,19,31
2023,3,24,14,55,15,20
2023,3,24,15,15,37,20
2023,3,24,15,25,2,20
2023,3,24,15,37,1,1
2023,3,24,15,48,22,31
2023,3,24,16,23,20,20
2023,3,24,16,27,5,1
2023,3,24,17,12,32,20
2023,3,24,17,16,51,1
2023,3,24,17,31,3,1
2023,3,24,17,52,47,NaN
2023,3,24,17,55,59,NaN
2023,3,24,18,45,59,NaN
2023,3,24,18,57,25,10
2023,3,24,19,10,41,NaN
2023,3,24,19,20,2,NaN
2023,3,24,19,25,42,30
2023,3,24,19,36,14,31
2023,3,24,19,46,53,10
2023,3,24,19,54,55,21
2023,3,24,20,16,19,NaN
2023,3,24,22,58,22,NaN
2023,3,24,23,20,1,10
2023,3,24,23,23,12,21
2023,3,25,0,42,21,NaN
2023,3,25,1,21,41,NaN
2023,3,25,1,49,44,NaN
2023,3,25,2,44,1,NaN
2023,3,25,3,30,39,10
2023,3,25,3,55,33,10
2023,3,25,4,1,30,NaN
2023,3,25,4,4,43,NaN
2023,3,25,4,38,6,NaN
2023,3,25,4,44,35,NaN
2023,3,25,4,54,22,NaN
2023,3,25,5,8,52,NaN
2023,3,25,5,18,57,NaN
2023,3,25,7,14,20,20
2023,3,25,10,25,2,NaN
2023,3,25,10,45,29,NaN
2023,3,25,11,32,37,NaN
2023,3,25,11,38,13,NaN
2023,3,25,11,54,37,NaN
2023,3,25,18,26,10,30
2023,3,27,12,58,18,20
2023,3,27,16,9,40,33
2023,3,27,16,28,23,20
2023,3,28,1,47,49,21
2023,3,28,1,56,35,11
2023,3,28,2,46,19,21
2023,3,28,3,3,0,21
2023,3,28,3,16,31,21
2023,3,28,6,28,53,NaN
2023,3,28,6,59,40,NaN
2023,3,28,7,3,47,NaN
2023,3,28,7,28,14,NaN
2023,3,28,7,31,56,NaN
2023,3,28,8,12,30,NaN
2023,3,28,8,41,56,NaN
2023,3,28,8,45,8,NaN
2023,3,28,8,48,43,NaN
2023,3,28,8,52,12,NaN
2023,3,28,8,58,30,NaN
2023,3,28,9,2,44,NaN
2023,3,28,9,6,34,NaN
2023,3,28,9,10,30,NaN
2023,3,28,15,33,32,21
2023,3,28,15,38,49,20
2023,3,28,15,44,36,10
2023,3,28,15,49,32,NaN
2023,3,28,15,53,57,10
2023,3,28,16,1,37,NaN
2023,3,28,16,9,59,NaN
2023,3,28,16,16,26,NaN
2023,3,28,16,34,46,NaN
2023,3,28,16,40,21,NaN
2023,3,28,16,45,19,NaN
2023,3,28,16,49,40,NaN
2023,3,28,17,4,5,3
2023,3,28,17,8,13,20
2023,3,28,17,11,46,13
2023,3,28,17,20,35,13
2023,3,28,17,28,18,11
2023,3,28,17,33,46,3
2023,3,28,17,38,54,NaN
2023,3,28,17,42,17,NaN
2023,3,28,17,45,59,NaN
2023,3,28,17,51,42,NaN
2023,3,28,18,5,2,NaN
2023,3,28,18,8,21,NaN
2023,3,28,18,16,27,NaN
2023,3,28,18,39,12,NaN
2023,3,28,19,12,47,NaN
2023,3,28,19,44,32,NaN
2023,3,28,19,49,30,4
2023,3,28,19,54,17,21
2023,3,28,19,57,37,20
2023,3,28,20,7,13,21
2023,3,28,20,15,8,NaN
2023,3,28,20,55,21,3
2023,3,28,21,5,35,NaN
2023,3,28,21,41,22,NaN
2023,3,28,21,50,44,NaN
2023,3,28,23,40,8,NaN
2023,3,28,23,57,57,NaN
2023,3,29,0,40,25,10
2023,3,29,2,13,32,NaN
2023,3,29,2,20,29,NaN
2023,3,29,2,24,5,NaN
2023,3,29,2,28,3,NaN
2023,3,29,3,26,42,NaN
2023,3,29,3,33,52,NaN
2023,3,29,3,42,40,NaN
2023,3,29,3,48,19,NaN
2023,3,29,3,54,13,NaN
2023,3,29,4,0,18,NaN
2023,3,29,4,6,41,NaN
2023,3,29,4,9,45,1
2023,3,29,4,13,13,NaN
2023,3,29,4,26,2,NaN
2023,3,29,4,30,17,NaN
2023,3,29,4,35,28,NaN
2023,3,29,4,41,1,NaN
2023,3,29,4,47,56,NaN
2023,3,29,4,52,16,NaN
2023,3,29,5,0,25,NaN
2023,3,29,5,23,31,NaN
2023,3,29,5,33,28,NaN
2023,3,29,5,56,31,NaN
2023,3,29,5,59,36,NaN
2023,3,29,6,3,18,NaN
2023,3,29,6,8,0,NaN
2023,3,29,6,12,11,NaN
2023,3,29,6,16,47,NaN
2023,3,29,6,21,44,NaN
2023,3,29,6,27,0,NaN
2023,3,29,6,30,17,NaN
2023,3,29,6,34,59,NaN
2023,3,29,6,42,39,NaN
2023,3,29,6,56,53,NaN
2023,3,29,7,0,11,NaN
2023,3,29,7,5,41,NaN
2023,3,29,7,13,24,NaN
2023,3,29,7,18,28,NaN
2023,3,29,7,21,58,NaN
2023,3,29,7,26,17,NaN
2023,3,29,7,36,33,NaN
2023,3,29,7,45,42,NaN
2023,3,29,7,51,7,NaN
2023,3,29,7,57,53,NaN
2023,3,29,8,4,45,NaN
2023,3,29,8,16,4,NaN
2023,3,29,8,29,28,NaN
2023,3,29,8,43,56,NaN
2023,3,29,9,8,30,NaN
2023,3,29,9,27,47,NaN
2023,3,29,9,32,57,NaN
2023,3,29,9,37,6,NaN
2023,3,29,9,49,21,NaN
2023,3,29,11,32,50,NaN
2023,3,29,11,39,34,NaN
2023,3,29,11,47,14,NaN
2023,3,29,11,56,52,NaN
2023,3,29,12,2,35,NaN
2023,3,29,16,0,7,NaN
2023,3,29,16,7,47,NaN
2023,3,29,16,56,50,NaN
2023,3,29,17,11,15,NaN
2023,3,29,17,19,10,NaN
2023,3,29,17,22,33,NaN
2023,3,29,17,29,9,NaN
2023,3,29,17,38,45,NaN
2023,3,29,17,43,15,NaN
2023,3,29,17,47,56,NaN
2023,3,29,17,54,0,NaN
2023,3,29,17,59,23,NaN
2023,3,29,18,5,14,NaN
2023,3,29,18,35,1,NaN
2023,3,29,18,42,54,NaN
2023,3,29,18,45,55,NaN
2023,3,29,18,50,52,NaN
2023,3,29,18,56,15,10
2023,3,29,19,5,21,10
2023,3,29,19,13,53,NaN
2023,3,29,19,17,21,NaN
2023,3,29,19,34,58,NaN
2023,3,29,19,38,32,NaN
2023,3,29,19,44,3,NaN
2023,3,29,19,51,12,NaN
2023,3,29,19,56,20,NaN
2023,3,29,20,2,17,NaN
2023,3,29,20,11,57,NaN
2023,3,29,20,21,16,NaN
2023,3,29,20,27,29,NaN
2023,3,29,20,33,9,NaN
2023,3,29,20,41,5,NaN
2023,3,29,20,45,17,NaN
2023,3,29,20,48,38,NaN
2023,3,29,20,53,1,10
2023,3,29,21,5,50,34
2023,3,29,21,21,15,34
2023,3,29,22,37,9,NaN
2023,3,29,23,4,40,34
2023,3,30,4,8,56,1
2023,3,30,4,13,49,1
2023,3,30,8,1,10,NaN
2023,3,30,8,4,40,NaN
2023,3,30,8,9,29,NaN
2023,3,30,8,13,25,NaN
2023,3,30,8,18,44,NaN
2023,3,30,8,30,36,30
2023,3,30,13,28,21,33
2023,3,30,14,2,32,33
2023,3,30,17,49,35,21
2023,3,30,20,45,54,10
2023,3,30,23,3,25,21
2023,3,31,2,4,43,1
2023,3,31,2,10,32,21
2023,3,31,3,24,4,21
2023,3,31,8,48,32,30
2023,3,31,11,40,55,30
2023,3,31,11,59,26,30
2023,3,31,12,14,32,NaN
2023,3,31,12,34,17,NaN
2023,3,31,12,38,32,NaN
2023,3,31,12,50,35,NaN
2023,3,31,13,13,14,NaN
2023,3,31,13,20,59,20
2023,3,31,13,29,51,10
2023,3,31,13,45,39,30
2023,3,31,14,39,30,13
2023,3,31,15,42,15,10
2023,3,31,17,4,57,33
2023,3,31,17,25,31,11
2023,3,31,17,50,28,20
2023,3,31,17,58,20,21
2023,3,31,19,11,27,21
2023,3,31,19,16,47,21
2023,3,31,19,35,27,10
2023,3,31,21,46,31,21
2023,3,31,21,49,58,1
2023,3,31,22,40,37,23
2023,3,31,22,55,26,10
2023,4,1,14,32,1,30
2023,4,1,14,45,16,20
2023,4,1,14,50,5,30
2023,4,1,15,50,51,32
2023,4,1,16,49,20,20
2023,4,1,22,36,23,10
2023,4,1,23,19,7,20
2023,4,2,1,22,22,10
2023,4,2,5,51,20,NaN
2023,4,2,6,21,48,NaN
2023,4,2,6,24,53,NaN
2023,4,2,6,52,16,NaN
2023,4,2,13,31,9,20
2023,4,2,15,27,49,1
2023,4,2,15,32,55,21
2023,4,2,18,56,30,NaN
2023,4,2,19,23,55,NaN
2023,4,2,19,48,55,NaN
2023,4,2,19,54,39,NaN
2023,4,3,20,29,9,10
2023,4,3,22,20,32,20
2023,4,3,23,38,52,NaN
2023,4,4,3,4,20,10
2023,4,4,3,16,24,10
2023,4,4,3,51,33,10
2023,4,4,4,1,25,20
2023,4,4,4,58,26,20
2023,4,4,5,4,56,NaN
2023,4,4,5,12,38,NaN
2023,4,4,5,18,56,NaN
2023,4,4,5,24,33,NaN
2023,4,4,5,28,9,NaN
2023,4,4,5,31,43,NaN
2023,4,4,5,35,19,NaN
2023,4,4,5,39,29,NaN
2023,4,4,5,46,8,NaN
2023,4,4,5,50,9,NaN
2023,4,4,5,58,14,30
2023,4,4,6,1,27,NaN
2023,4,4,6,7,23,NaN
2023,4,4,6,45,35,10
2023,4,4,7,5,19,30
2023,4,4,10,5,31,20
2023,4,4,14,55,23,30
2023,4,4,18,20,17,10
2023,4,4,18,29,53,1
2023,4,4,18,35,45,1
2023,4,4,18,46,26,30
2023,4,4,19,52,26,NaN
2023,4,4,20,4,4,30
2023,4,4,20,17,4,30
2023,4,4,20,46,57,30
2023,4,4,20,50,19,33
2023,4,4,21,32,13,1
2023,4,4,21,43,32,30
2023,4,4,22,27,54,20
2023,4,4,22,59,38,20
2023,4,5,1,10,21,20
2023,4,5,1,14,7,21
2023,4,5,1,18,26,31
2023,4,5,1,26,22,31
2023,4,5,1,39,20,31
2023,4,5,2,4,30,30
2023,4,5,3,12,37,21
2023,4,5,3,18,31,11
2023,4,5,3,34,55,NaN
2023,4,5,5,31,18,30
2023,4,5,7,9,47,30
2023,4,5,9,58,4,20
2023,4,5,18,3,37,10
2023,4,5,18,26,37,10
2023,4,5,18,30,41,21
2023,4,5,18,44,30,10
2023,4,5,19,56,27,20
2023,4,5,21,25,48,10
2023,4,5,21,39,6,21
2023,4,5,21,45,21,21
2023,4,5,22,38,52,21
2023,4,5,22,50,44,1
2023,4,5,23,8,17,20
2023,4,6,0,49,30,31
2023,4,6,1,17,24,31
2023,4,6,3,9,9,21
2023,4,6,3,31,53,21
2023,4,6,3,39,48,20
2023,4,6,3,52,2,20
2023,4,6,4,0,42,11
2023,4,6,15,43,27,2
2023,4,6,17,17,52,31
2023,4,6,17,23,28,30
2023,4,6,17,30,50,21
2023,4,6,18,44,14,20
2023,4,6,19,0,15,20
2023,4,6,19,6,53,20
2023,4,6,19,20,25,20
2023,4,6,20,46,14,30
2023,4,6,20,56,49,30
2023,4,6,21,21,55,1
2023,4,6,21,27,35,31
2023,4,6,21,36,2,30
2023,4,6,21,41,6,31
2023,4,6,21,44,43,31
2023,4,6,21,48,50,10
2023,4,6,22,11,40,12
2023,4,6,22,17,24,32
2023,4,6,22,51,13,20
2023,4,6,23,47,22,32
2023,4,6,23,53,23,32
2023,4,7,3,2,5,21
2023,4,7,4,17,58,11
2023,4,7,16,57,17,20
2023,4,7,17,11,53,22
2023,4,8,1,12,56,20
2023,4,8,20,13,35,20
2023,4,8,20,24,32,33
2023,4,9,3,13,35,20
2023,4,9,20,36,33,33
2023,4,9,21,1,45,30
2023,4,9,21,10,36,20
2023,4,9,21,17,27,33
2023,4,9,21,59,9,23
2023,4,9,22,25,33,30
2023,4,9,23,5,6,30
2023,4,10,16,56,24,31
2023,4,10,17,25,54,21
2023,4,10,17,31,22,30
2023,4,10,17,47,14,30
2023,4,10,18,30,27,21
2023,4,10,18,37,17,21
2023,4,10,19,24,51,20
2023,4,10,20,24,38,20
2023,4,10,20,55,33,30
2023,4,10,21,36,58,22
2023,4,10,21,42,45,20
2023,4,10,22,12,48,32
2023,4,10,22,40,30,20
2023,4,10,22,55,20,20
2023,4,10,23,2,6,20
2023,4,10,23,23,19,30
2023,4,10,23,26,35,20
